seed,policy,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
0,fixed,16,16,True,9430.0748402197,42235.37420109845,165,78,0
0,active,16,16,True,11790.121391225639,53720.60695612815,172,106,141
1,fixed,11,11,True,7494.384610538172,32841.92305269085,156,91,0
1,active,11,11,True,8530.770722820575,37708.85361410282,164,114,122
2,fixed,16,16,True,9422.051146264123,42035.25573132056,171,80,0
2,active,16,16,True,12209.96465964994,55684.82329824967,177,108,142
3,fixed,11,11,True,7558.083317772301,32980.41658886148,162,97,0
3,active,11,11,True,10677.66397694726,48323.3198847363,169,113,123
4,fixed,11,11,True,7958.676705091061,35253.38352545528,153,88,0
4,active,11,11,True,9609.074483883645,43255.3724194182,158,113,119
5,fixed,14,14,True,8522.477748196605,37692.38874098297,166,84,0
5,active,14,14,True,11654.218002751153,53026.090013755726,173,114,135
6,fixed,16,16,True,9682.837907938127,43864.18953969058,154,60,0
6,active,16,16,True,12838.283614089654,59331.418070448235,161,87,139
7,fixed,12,12,True,7741.936232213773,34059.68116106884,156,90,0
7,active,12,12,True,10475.033192016683,47465.16596008339,162,112,120
8,fixed,11,11,True,7725.17445726984,34175.872286349186,150,85,0
8,active,11,11,True,9923.337353955816,44896.68676977904,156,109,119
9,fixed,13,13,True,8274.985911911252,36469.929559556236,165,91,0
9,active,13,13,True,11201.641869189545,50818.20934594768,172,113,131
10,fixed,14,14,True,9135.270742574778,41231.35371287386,150,69,0
10,active,14,14,True,10990.937082859353,50144.68541429673,159,97,132
11,fixed,13,13,True,7808.789431202634,34238.94715601315,162,86,0
11,active,13,13,True,10926.501658067578,49507.50829033786,170,110,132
12,fixed,13,13,True,8551.745380048906,38478.7269002445,145,66,0
12,active,13,13,True,11203.998651646818,51364.99325823407,155,91,130
13,fixed,12,12,True,8450.307566364014,37741.53783182003,152,82,0
13,active,12,12,True,11843.672653111467,54423.363265557324,159,104,124
14,fixed,10,10,True,6926.763138057299,30028.81569028647,155,96,0
14,active,10,10,True,8970.842730009479,40019.21365004738,161,112,115
15,fixed,11,11,True,7498.231328053306,33111.15664026651,148,81,0
15,active,11,11,True,8772.481084176827,39177.40542088412,155,107,119
16,fixed,12,12,True,7949.755775391755,35378.778876958764,147,79,0
16,active,12,12,True,9446.559535170643,42657.79767585317,152,95,118
17,fixed,14,14,True,8624.849201536606,38474.24600768299,157,75,0
17,active,14,14,True,10988.36237996595,49986.81189982971,165,96,135
18,fixed,11,11,True,7454.458222411636,32792.291112058156,150,91,0
18,active,11,11,True,9892.774237416786,44818.8711870839,153,109,110
19,fixed,15,15,True,9110.436397378067,41077.18198689032,150,70,0
19,active,15,15,True,12988.573916326804,60172.869581633975,157,94,129
20,fixed,15,15,True,8778.79704238462,38943.985211923056,167,80,0
20,active,15,15,True,11954.52607252701,54437.63036263498,177,107,143
21,fixed,11,11,True,7213.794108761534,31718.970543807653,146,85,0
21,active,11,11,True,9316.431432238262,41977.15716119129,152,106,114
22,fixed,11,11,True,7032.535972065574,30027.67986032784,173,107,0
22,active,11,11,True,10940.115583163657,49295.57791581824,180,126,125
23,fixed,16,16,True,9710.453931314196,43982.269656570934,154,64,0
23,active,16,16,True,12292.886356019957,56564.431780099745,163,85,139
24,fixed,15,15,True,9137.93637446386,41279.68187231926,149,62,0
24,active,15,15,True,12250.448756762027,56482.24378381011,158,89,136
25,fixed,13,13,True,7800.662129720947,33773.310648604696,176,101,0
25,active,13,13,True,11009.690485231995,49573.45242615994,182,120,132
26,fixed,15,15,True,8097.541541586442,35647.707707932175,164,73,0
26,active,15,15,True,11701.450094232276,53252.25047116135,175,101,146
27,fixed,15,15,True,9108.739732227152,40958.69866113571,154,72,0
27,active,15,15,True,12738.980195622898,58814.90097811444,162,91,132
28,fixed,10,10,True,6946.026433204614,30240.132166023057,151,93,0
28,active,10,10,True,9418.496623348277,42382.48311674136,157,107,114
29,fixed,14,14,True,9029.663987698263,40438.319938491266,159,77,0
29,active,14,14,True,12214.118841895528,56005.59420947765,168,103,137
