seed,policy,profile,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
3000,fixed,uniform,15,15,True,9061.631943332353,40283.15971666172,170,80,0
3000,active,uniform,15,15,True,9265.09906103269,40975.49530516339,182,85,147
3001,fixed,uniform,12,12,True,8222.419968224827,36427.0998411241,158,87,0
3001,active,uniform,12,12,True,7943.028924251082,34840.144621255386,165,90,126
3002,fixed,uniform,11,11,True,6938.048176909143,30420.24088454571,143,84,0
3002,active,uniform,11,11,True,6992.331502725138,30526.657513625694,148,92,111
3003,fixed,uniform,14,14,True,8123.4878152030415,35727.439076015165,165,83,0
3003,active,uniform,14,14,True,8052.967688409912,35054.83844204952,176,92,140
3004,fixed,uniform,13,13,True,7918.804194179504,34839.020970897494,159,91,0
3004,active,uniform,13,13,True,7717.025898782306,33635.12949391151,166,95,123
3005,fixed,uniform,15,15,True,8965.81466813322,40049.07334066607,162,71,0
3005,active,uniform,15,15,True,8576.736346207037,37808.68173103513,172,80,143
3006,fixed,uniform,15,15,True,9380.566826448148,42137.83413224069,161,73,0
3006,active,uniform,15,15,True,9341.810416724466,41719.05208362228,168,83,137
3007,fixed,uniform,15,15,True,9129.148745278171,41065.743726390836,155,66,0
3007,active,uniform,15,15,True,8560.51105193452,37937.55525967259,165,73,139
3008,fixed,uniform,12,12,True,7659.367445129574,33426.83722564785,164,94,0
3008,active,uniform,12,12,True,7711.367445129573,33426.837225647854,173,101,129
3009,fixed,uniform,13,13,True,7476.747910450439,32603.739552252173,161,86,0
3009,active,uniform,13,13,True,7503.718225152515,32523.591125762556,168,94,130
3010,fixed,uniform,15,15,True,9446.830158426175,42944.15079213084,145,58,0
3010,active,uniform,15,15,True,8851.669068260082,39638.345341300395,157,64,136
3011,fixed,uniform,11,11,True,7097.528252001962,30762.64126000978,159,95,0
3011,active,uniform,11,11,True,7525.484546920095,32777.422734600455,163,100,118
3012,fixed,uniform,12,12,True,7612.194698955125,33365.97349477561,157,94,0
3012,active,uniform,12,12,True,7727.243291781241,33876.21645890619,159,97,116
3013,fixed,uniform,15,15,True,9278.288568105108,42031.442840525495,147,62,0
3013,active,uniform,15,15,True,8995.091743275352,40290.458716376736,158,72,136
3014,fixed,uniform,10,10,True,6990.650435979319,30538.252179896586,148,93,0
3014,active,uniform,10,10,True,6654.171479807934,28725.857399039654,152,99,109
3015,fixed,uniform,15,15,True,8960.001564581504,39820.007822907464,168,81,0
3015,active,uniform,15,15,True,8962.906292794112,39639.53146397051,175,85,139
3016,fixed,uniform,15,15,True,8820.28565500162,39741.42827500807,146,67,0
3016,active,uniform,15,15,True,8171.672633868588,36308.36316934291,152,75,125
3017,fixed,uniform,15,15,True,9688.623460908686,44003.1173045434,150,63,0
3017,active,uniform,15,15,True,9406.317828155958,42331.58914077976,159,70,135
3018,fixed,uniform,13,13,True,8199.686403079457,36488.43201539726,152,77,0
3018,active,uniform,13,13,True,7424.9910259694925,32489.95512984745,155,87,122
3019,fixed,uniform,12,12,True,7814.221352114091,34106.10676057043,167,98,0
3019,active,uniform,12,12,True,7812.618366908549,33818.09183454273,177,104,131
3020,fixed,uniform,13,13,True,7724.7440038383975,33898.72001919197,159,85,0
3020,active,uniform,13,13,True,7713.532669938197,33692.66334969096,163,95,124
3021,fixed,uniform,14,14,True,8911.762654685495,39593.81327342743,168,83,0
3021,active,uniform,14,14,True,8761.436739653174,38482.18369826582,181,90,145
3022,fixed,uniform,13,13,True,8703.011715860815,38810.058579304045,159,81,0
3022,active,uniform,13,13,True,8741.716672315704,38753.58336157848,168,86,134
3023,fixed,uniform,14,14,True,8383.455076162898,37272.27538081447,156,79,0
3023,active,uniform,14,14,True,8432.311685921286,37266.558429606404,164,89,131
3024,fixed,uniform,11,11,True,6725.133447377636,28825.667236888155,162,95,0
3024,active,uniform,11,11,True,6472.709530758694,27333.547653793452,170,101,125
3025,fixed,uniform,10,10,True,6711.20810165647,29141.04050828235,148,93,0
3025,active,uniform,10,10,True,6323.497930195593,27047.489650977957,153,99,109
3026,fixed,uniform,14,14,True,8683.24458822917,38906.222941145825,152,72,0
3026,active,uniform,14,14,True,8464.377518138474,37576.88759069233,160,79,131
3027,fixed,uniform,11,11,True,6822.462254449184,29377.311272245905,158,102,0
3027,active,uniform,11,11,True,7206.453621129442,31152.26810564718,163,106,113
