seed,target_count,cleared_count,terminated,truncated,termination_reason,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps,strategy,cleared_rate,average_localization_clear_time_s,success
92001,16,16,True,False,completed,35488.04062075817,172130.20310379093,166,152,148,random,1.0,2218.0025387973856,1
92002,16,16,True,False,completed,32904.34115856781,158796.7057928391,180,165,146,random,1.0,2056.521322410488,1
92003,16,16,True,False,completed,16897.85970666307,79949.29853331533,141,123,131,random,1.0,1056.1162316664418,1
92004,16,16,True,False,completed,42811.91283565026,208074.56417825125,189,172,159,random,1.0,2675.7445522281414,1
92005,16,16,True,False,completed,16321.005156541098,77290.02578270553,133,118,123,random,1.0,1020.0628222838186,1
92006,16,16,True,False,completed,42904.58300239122,208337.91501195604,197,172,160,random,1.0,2681.5364376494513,1
92007,16,16,True,False,completed,31940.242755034084,154136.2137751704,176,153,149,random,1.0,1996.2651721896302,1
92008,16,16,True,False,completed,35322.41554536197,170807.07772680977,183,166,159,random,1.0,2207.650971585123,1
92009,16,16,True,False,completed,37002.1434580517,179230.71729025847,182,166,145,random,1.0,2312.6339661282314,1
92010,16,16,True,False,completed,33883.68789285997,163168.4394642998,198,180,159,random,1.0,2117.730493303748,1
92011,16,16,True,False,completed,18351.607491918,87093.03745958999,146,123,136,random,1.0,1146.975468244875,1
92012,16,16,True,False,completed,17092.93802306467,80954.6901153233,141,117,133,random,1.0,1068.308626441542,1
92013,16,16,True,False,completed,31134.80088255221,150069.0044127611,177,156,155,random,1.0,1945.925055159513,1
92014,16,16,True,False,completed,14572.117760264951,68335.58880132473,142,115,132,random,1.0,910.7573600165595,1
92015,16,16,True,False,completed,37375.763077709664,181233.81538854836,178,159,157,random,1.0,2335.985192356854,1
92016,16,16,True,False,completed,31473.553295986345,152002.76647993177,168,153,144,random,1.0,1967.0970809991466,1
92017,16,16,True,False,completed,40327.106011272306,195645.53005636157,191,163,163,random,1.0,2520.444125704519,1
92018,16,16,True,False,completed,44048.328536490015,213916.64268245,201,180,163,random,1.0,2753.020533530626,1
92019,16,16,True,False,completed,37186.72882833408,179983.64414167043,188,170,147,random,1.0,2324.17055177088,1
92020,16,16,True,False,completed,18882.512834475292,89657.5641723765,149,126,138,random,1.0,1180.1570521547058,1
92001,16,16,True,False,completed,9900.187355453092,44555.93677726537,166,79,143,fixed_scan,1.0,618.7617097158183,1
92002,16,16,True,False,completed,10637.278895837235,47786.39447918609,180,100,141,fixed_scan,1.0,664.8299309898272,1
92003,16,16,True,False,completed,6733.756171099932,29448.780855499623,141,59,130,fixed_scan,1.0,420.8597606937457,1
92004,16,16,True,False,completed,10032.59624623749,44547.98123118739,189,98,153,fixed_scan,1.0,627.0372653898431,1
92005,16,16,True,False,completed,6597.195637731953,28965.978188659737,133,59,122,fixed_scan,1.0,412.32472735824706,1
92006,16,16,True,False,completed,10919.836760024415,48759.183800121995,197,103,156,fixed_scan,1.0,682.4897975015259,1
92007,16,16,True,False,completed,9766.645010163846,43538.22505081916,176,99,139,fixed_scan,1.0,610.4153131352404,1
92008,16,16,True,False,completed,10538.99406888625,47244.970344431174,183,95,149,fixed_scan,1.0,658.6871293053906,1
92009,16,16,True,False,completed,13295.13840666322,61000.692033316016,182,105,142,fixed_scan,1.0,830.9461504164512,1
92010,16,16,True,False,completed,13294.29312299291,60546.46561496448,198,115,151,fixed_scan,1.0,830.8933201870569,1
92011,16,16,True,False,completed,7585.667901879534,33583.339509397614,146,59,135,fixed_scan,1.0,474.10424386747087,1
